"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 05:06:57 UTC 2023","Fri Jul 14 05:06:58 UTC 2023","1531","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Jul 14 05:48:22 UTC 2023","Fri Jul 14 05:49:23 UTC 2023","61176","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Jul 14 04:32:16 UTC 2023","Fri Jul 14 04:32:24 UTC 2023","8544","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Jul 14 05:38:00 UTC 2023","Fri Jul 14 05:38:01 UTC 2023","1178","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Jul 14 04:43:34 UTC 2023","Fri Jul 14 04:43:41 UTC 2023","6876","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Jul 14 04:40:38 UTC 2023","Fri Jul 14 04:40:38 UTC 2023","472","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Jul 14 05:44:53 UTC 2023","Fri Jul 14 05:44:58 UTC 2023","4802","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Jul 14 04:29:18 UTC 2023","Fri Jul 14 04:29:21 UTC 2023","3320","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Jul 14 04:21:20 UTC 2023","Fri Jul 14 04:21:48 UTC 2023","27754","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jul 14 05:19:57 UTC 2023","Fri Jul 14 05:20:00 UTC 2023","2887","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Jul 14 05:06:30 UTC 2023","Fri Jul 14 05:06:49 UTC 2023","19310","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Jul 14 05:59:13 UTC 2023","Fri Jul 14 05:59:15 UTC 2023","2166","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Jul 14 04:40:13 UTC 2023","Fri Jul 14 04:40:15 UTC 2023","2140","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Jul 14 04:44:19 UTC 2023","Fri Jul 14 04:44:19 UTC 2023","575","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Jul 14 05:12:35 UTC 2023","Fri Jul 14 05:12:39 UTC 2023","3908","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jul 14 04:34:14 UTC 2023","Fri Jul 14 04:34:18 UTC 2023","3634","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Jul 14 04:32:24 UTC 2023","Fri Jul 14 04:32:27 UTC 2023","3237","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 14 04:42:45 UTC 2023","Fri Jul 14 04:43:05 UTC 2023","19463","","6. Company Account","","","","1. Validate login credentials",""
"passed","Fri Jul 14 05:20:00 UTC 2023","Fri Jul 14 05:20:06 UTC 2023","5345","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Jul 14 05:19:53 UTC 2023","Fri Jul 14 05:19:57 UTC 2023","3927","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Jul 14 04:27:28 UTC 2023","Fri Jul 14 04:27:32 UTC 2023","3843","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 14 04:58:42 UTC 2023","Fri Jul 14 04:58:42 UTC 2023","747","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Jul 14 04:40:15 UTC 2023","Fri Jul 14 04:40:34 UTC 2023","18664","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Jul 14 05:43:52 UTC 2023","Fri Jul 14 05:44:01 UTC 2023","9550","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Jul 14 05:26:10 UTC 2023","Fri Jul 14 05:26:32 UTC 2023","22363","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Jul 14 04:59:41 UTC 2023","Fri Jul 14 04:59:42 UTC 2023","1046","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Jul 14 04:59:24 UTC 2023","Fri Jul 14 04:59:27 UTC 2023","3207","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Jul 14 05:34:54 UTC 2023","Fri Jul 14 05:34:58 UTC 2023","4299","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Jul 14 05:44:05 UTC 2023","Fri Jul 14 05:44:46 UTC 2023","40851","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Jul 14 05:20:06 UTC 2023","Fri Jul 14 05:20:28 UTC 2023","22493","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Jul 14 05:40:41 UTC 2023","Fri Jul 14 05:41:10 UTC 2023","28941","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Jul 14 04:26:51 UTC 2023","Fri Jul 14 04:27:09 UTC 2023","18077","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 14 04:31:58 UTC 2023","Fri Jul 14 04:32:16 UTC 2023","17877","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 14 04:29:41 UTC 2023","Fri Jul 14 04:29:42 UTC 2023","492","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Jul 14 05:44:01 UTC 2023","Fri Jul 14 05:44:05 UTC 2023","3635","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Jul 14 04:29:21 UTC 2023","Fri Jul 14 04:29:36 UTC 2023","14885","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Jul 14 04:40:34 UTC 2023","Fri Jul 14 04:40:38 UTC 2023","3725","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 14 04:24:05 UTC 2023","Fri Jul 14 04:24:10 UTC 2023","4822","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Jul 14 04:59:29 UTC 2023","Fri Jul 14 04:59:41 UTC 2023","12070","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jul 14 05:03:59 UTC 2023","Fri Jul 14 05:04:13 UTC 2023","13355","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Jul 14 04:39:51 UTC 2023","Fri Jul 14 04:39:55 UTC 2023","3818","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jul 14 05:47:33 UTC 2023","Fri Jul 14 05:48:22 UTC 2023","49275","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Jul 14 04:35:20 UTC 2023","Fri Jul 14 04:35:24 UTC 2023","4435","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Jul 14 04:24:20 UTC 2023","Fri Jul 14 04:24:21 UTC 2023","1008","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jul 14 04:44:16 UTC 2023","Fri Jul 14 04:44:19 UTC 2023","2574","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 14 05:58:26 UTC 2023","Fri Jul 14 05:58:30 UTC 2023","3121","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jul 14 05:47:14 UTC 2023","Fri Jul 14 05:47:20 UTC 2023","6429","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Jul 14 05:04:13 UTC 2023","Fri Jul 14 05:04:33 UTC 2023","20031","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Jul 14 05:44:46 UTC 2023","Fri Jul 14 05:44:53 UTC 2023","7266","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Jul 14 05:12:41 UTC 2023","Fri Jul 14 05:13:05 UTC 2023","24478","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jul 14 05:19:27 UTC 2023","Fri Jul 14 05:19:41 UTC 2023","14180","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Jul 14 05:19:46 UTC 2023","Fri Jul 14 05:19:50 UTC 2023","3284","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Jul 14 05:06:52 UTC 2023","Fri Jul 14 05:06:57 UTC 2023","5114","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Jul 14 05:12:18 UTC 2023","Fri Jul 14 05:12:35 UTC 2023","16939","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Jul 14 04:39:39 UTC 2023","Fri Jul 14 04:39:51 UTC 2023","12631","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jul 14 04:43:18 UTC 2023","Fri Jul 14 04:43:34 UTC 2023","15755","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jul 14 05:40:27 UTC 2023","Fri Jul 14 05:40:41 UTC 2023","13707","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Jul 14 04:20:46 UTC 2023","Fri Jul 14 04:21:07 UTC 2023","21616","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 14 05:58:09 UTC 2023","Fri Jul 14 05:58:26 UTC 2023","16674","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Jul 14 05:34:51 UTC 2023","Fri Jul 14 05:34:54 UTC 2023","2431","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Jul 14 05:58:30 UTC 2023","Fri Jul 14 05:58:31 UTC 2023","1555","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jul 14 05:47:20 UTC 2023","Fri Jul 14 05:47:30 UTC 2023","9791","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Jul 14 05:44:01 UTC 2023","Fri Jul 14 05:44:01 UTC 2023","35","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Jul 14 05:26:32 UTC 2023","Fri Jul 14 05:31:20 UTC 2023","287882","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Jul 14 05:03:39 UTC 2023","Fri Jul 14 05:03:59 UTC 2023","20083","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Jul 14 04:35:18 UTC 2023","Fri Jul 14 04:35:20 UTC 2023","2187","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Jul 14 04:39:35 UTC 2023","Fri Jul 14 04:39:39 UTC 2023","3449","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 14 05:06:49 UTC 2023","Fri Jul 14 05:06:52 UTC 2023","2504","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Jul 14 05:13:06 UTC 2023","Fri Jul 14 05:13:08 UTC 2023","1920","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Jul 14 05:04:13 UTC 2023","Fri Jul 14 05:04:13 UTC 2023","306","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Jul 14 05:13:08 UTC 2023","Fri Jul 14 05:13:52 UTC 2023","44760","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Jul 14 04:27:32 UTC 2023","Fri Jul 14 04:27:49 UTC 2023","17138","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jul 14 04:21:56 UTC 2023","Fri Jul 14 04:22:06 UTC 2023","10182","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Jul 14 04:46:37 UTC 2023","Fri Jul 14 04:47:16 UTC 2023","38844","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Jul 14 04:43:14 UTC 2023","Fri Jul 14 04:43:18 UTC 2023","3593","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Jul 14 05:12:39 UTC 2023","Fri Jul 14 05:12:41 UTC 2023","1949","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jul 14 04:49:15 UTC 2023","Fri Jul 14 04:49:34 UTC 2023","18809","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Jul 14 04:36:28 UTC 2023","Fri Jul 14 04:36:30 UTC 2023","2289","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Jul 14 05:47:30 UTC 2023","Fri Jul 14 05:47:32 UTC 2023","2143","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Jul 14 05:34:42 UTC 2023","Fri Jul 14 05:34:51 UTC 2023","9643","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Jul 14 05:20:40 UTC 2023","Fri Jul 14 05:20:43 UTC 2023","2440","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Jul 14 04:39:03 UTC 2023","Fri Jul 14 04:39:25 UTC 2023","21923","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 14 04:27:09 UTC 2023","Fri Jul 14 04:27:28 UTC 2023","19394","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Jul 14 04:29:36 UTC 2023","Fri Jul 14 04:29:41 UTC 2023","4955","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 14 05:16:35 UTC 2023","Fri Jul 14 05:17:21 UTC 2023","45517","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Jul 14 04:32:27 UTC 2023","Fri Jul 14 04:32:48 UTC 2023","20371","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jul 14 04:43:57 UTC 2023","Fri Jul 14 04:44:00 UTC 2023","2971","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Jul 14 04:59:27 UTC 2023","Fri Jul 14 04:59:29 UTC 2023","1680","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Jul 14 04:21:07 UTC 2023","Fri Jul 14 04:21:16 UTC 2023","8422","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Jul 14 05:37:17 UTC 2023","Fri Jul 14 05:37:37 UTC 2023","20302","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Jul 14 05:58:42 UTC 2023","Fri Jul 14 05:59:12 UTC 2023","30951","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Jul 14 05:37:37 UTC 2023","Fri Jul 14 05:37:43 UTC 2023","6309","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Jul 14 04:39:25 UTC 2023","Fri Jul 14 04:39:35 UTC 2023","10193","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Jul 14 04:24:10 UTC 2023","Fri Jul 14 04:24:10 UTC 2023","339","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Jul 14 05:45:51 UTC 2023","Fri Jul 14 05:47:14 UTC 2023","82928","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Jul 14 04:58:16 UTC 2023","Fri Jul 14 04:58:41 UTC 2023","24749","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Jul 14 05:43:31 UTC 2023","Fri Jul 14 05:43:52 UTC 2023","20813","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Jul 14 04:32:48 UTC 2023","Fri Jul 14 04:32:56 UTC 2023","7445","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jul 14 04:35:24 UTC 2023","Fri Jul 14 04:35:27 UTC 2023","2840","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jul 14 05:45:48 UTC 2023","Fri Jul 14 05:45:51 UTC 2023","2814","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Jul 14 04:21:48 UTC 2023","Fri Jul 14 04:21:56 UTC 2023","7744","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Jul 14 05:19:41 UTC 2023","Fri Jul 14 05:19:46 UTC 2023","4956","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Jul 14 04:34:18 UTC 2023","Fri Jul 14 04:35:17 UTC 2023","59205","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Jul 14 04:35:27 UTC 2023","Fri Jul 14 04:36:28 UTC 2023","60815","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Jul 14 04:44:00 UTC 2023","Fri Jul 14 04:44:16 UTC 2023","16014","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Jul 14 05:58:31 UTC 2023","Fri Jul 14 05:58:41 UTC 2023","10065","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Jul 14 04:43:05 UTC 2023","Fri Jul 14 04:43:14 UTC 2023","9515","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Jul 14 04:21:16 UTC 2023","Fri Jul 14 04:21:20 UTC 2023","4011","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 14 05:37:44 UTC 2023","Fri Jul 14 05:37:54 UTC 2023","10234","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Jul 14 05:37:58 UTC 2023","Fri Jul 14 05:38:00 UTC 2023","1446","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Jul 14 04:24:10 UTC 2023","Fri Jul 14 04:24:20 UTC 2023","9793","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Jul 14 04:58:42 UTC 2023","Fri Jul 14 04:58:54 UTC 2023","11834","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Jul 14 04:58:54 UTC 2023","Fri Jul 14 04:59:24 UTC 2023","29773","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Jul 14 05:19:50 UTC 2023","Fri Jul 14 05:19:53 UTC 2023","3416","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Jul 14 05:37:54 UTC 2023","Fri Jul 14 05:37:58 UTC 2023","4044","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Jul 14 05:20:28 UTC 2023","Fri Jul 14 05:20:40 UTC 2023","12088","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Jul 14 05:34:23 UTC 2023","Fri Jul 14 05:34:42 UTC 2023","19026","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Jul 14 05:37:43 UTC 2023","Fri Jul 14 05:37:43 UTC 2023","272","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Jul 14 04:27:49 UTC 2023","Fri Jul 14 04:27:58 UTC 2023","8056","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
